;;;;;;;;;;;;;;;;;;;;;;;;;;
;;CATALOGO DE LIBROS DE LA FISI;;;;;;;;;;;;;;;;;;;;;;;;
;Nº;TITULO;AUTOR;CLASIFICACION;AÑO;;;;;;;;;;;;;;;;;;;;;
;1476;Programando con Java;Eva Matilde Vasquez Valle;QA76.73.J38.V36 ej. 20;2010;;;;;;;;;;;;;;;;;;;;;
;1477;Programando con Java;Eva Matilde Vasquez Valle;QA76.73.J38.V36 ej. 21;2010;;;;;;;;;;;;;;;;;;;;;
;1478;Programando con Java;Eva Matilde Vasquez Valle;QA76.73.J38.V36 ej. 22;2010;;;;;;;;;;;;;;;;;;;;;
;1479;Programando con Java;Eva Matilde Vasquez Valle;QA76.73.J38.V36 ej. 23;2010;;;;;;;;;;;;;;;;;;;;;
;1480;Programando con Java;Eva Matilde Vasquez Valle;QA76.73.J38.V36 ej. 3;2010;;;;;;;;;;;;;;;;;;;;;
;1481;Programando con Java;Eva Matilde Vasquez Valle;QA76.73.J38.V36 ej. 4;2010;;;;;;;;;;;;;;;;;;;;;
;1482;Programando con Java;Eva Matilde Vasquez Valle;QA76.73.J38.V36 ej. 5;2010;;;;;;;;;;;;;;;;;;;;;
;1483;Programando con Java;Eva Matilde Vasquez Valle;QA76.73.J38.V36 ej. 6;2010;;;;;;;;;;;;;;;;;;;;;
;1484;Programando con Java;Eva Matilde Vasquez Valle;QA76.73.J38.V36 ej. 7;2010;;;;;;;;;;;;;;;;;;;;;
;1485;Programando con Java;Eva Matilde Vasquez Valle;QA76.73.J38.V36 ej. 8;2010;;;;;;;;;;;;;;;;;;;;;
;1486;Programando con Java;Eva Matilde Vasquez Valle;QA76.73.J38.V36 ej. 9;2010;;;;;;;;;;;;;;;;;;;;;
;1487;Fundamentos de programacion Java mas de 100 algoritmos codificados;Ricardo Marcelo Villalobos;QA76.73.J38.V66;2008;;;;;;;;;;;;;;;;;;;;;
;1488;SPRING 3ra Edicion;Craig Walls;QA76.73.J38.W21;2012;;;;;;;;;;;;;;;;;;;;;
;1489;SPRING 3ra Edicion;Craig Walls;QA76.73.J38.W21 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;1490;SPRING 3ra Edicion;Craig Walls;QA76.73.J38.W21 ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;1491;SPRING 3ra Edicion;Craig Walls;QA76.73.J38.W21 ej. 4;2012;;;;;;;;;;;;;;;;;;;;;
;1492;JQuery 1.4 Incluye jQuery UI 1.8;Bear Bibeault;QA76.73.J39.B52;2011;;;;;;;;;;;;;;;;;;;;;
;1493;JQuery 1.4 Incluye jQuery UI 1.8;Bear Bibeault;QA76.73.J39.B52 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;1494;Aprende JQuery 1.3;Jonathan Chaffer;QA76.73.J39.CH51;2010;;;;;;;;;;;;;;;;;;;;;
;1495;Guia Practica JavaScript ;Astor de Caso Parra;QA76.73.J39.D35;2016;;;;;;;;;;;;;;;;;;;;;
;1496;Guia Practica JavaScript ;Astor de Caso Parra;QA76.73.J39.D35 ej. 2;2016;;;;;;;;;;;;;;;;;;;;;
;1497;Guia Practica JavaScript ;Astor de Caso Parra;QA76.73.J39.D35 ej. 3;2016;;;;;;;;;;;;;;;;;;;;;
;1498;Guia Practica JavaScript ;Astor de Caso Parra;QA76.73.J39.D35 ej. 4;2016;;;;;;;;;;;;;;;;;;;;;
;1499;JQuery Mobile Aplicaciones HTML5 para móviles;Maximiliano Firtman;QA76.73.J39.J52M;2012;;;;;;;;;;;;;;;;;;;;;
;1500;JQuery Mobile Aplicaciones HTML5 para móviles;Maximiliano Firtman;QA76.73.J39.J52M ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;1501;jQuery El franmework JavaScript de la Web 2.0;Luc Van Lancker;QA76.73.J39.L22;2014;;;;;;;;;;;;;;;;;;;;;
;1502;jQuery El franmework JavaScript de la Web 2.1;Luc Van Lancker;QA76.73.J39.L22 ej. 2;2014;;;;;;;;;;;;;;;;;;;;;
;1503;jQuery El franmework JavaScript de la Web 2.2;Luc Van Lancker;QA76.73.J39.L22 ej. 3;2014;;;;;;;;;;;;;;;;;;;;;
;1504;jQuery El franmework JavaScript de la Web 2.3;Luc Van Lancker;QA76.73.J39.L22 ej. 4;2014;                                                                                                                                                                                                                                                                                                                                                        ;;;;;;;;;;;;;;;;;;;;
;1505;jQuery El franmework JavaScript de la Web 2.4;Luc Van Lancker;QA76.73.J39.L22 ej. 5;2014;;;;;;;;;;;;;;;;;;;;;
;1506;Domine JavaScript;Jose Lopez Quijano;QA76.73.J39.L88;2007;;;;;;;;;;;;;;;;;;;;;
;1507;Domine JavaScript;Jose Lopez Quijano;QA76.73.J39.L88 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;1508;Domine JavaScript;Jose Lopez Quijano;QA76.73.J39.L88 ej. 3;2007;;;;;;;;;;;;;;;;;;;;;
;1509;Domine JavaScript;Jose Lopez Quijano;QA76.73.J39.L88 ej. 4;2007;;;;;;;;;;;;;;;;;;;;;
;1510;Domine JavaScript;Jose Lopez Quijano;QA76.73.J39.L88 ej. 5;2007;;;;;;;;;;;;;;;;;;;;;
;1511;JavaScript;David Sawyer McFarland;QA76.73.J39.S27;2008;;;;;;;;;;;;;;;;;;;;;
;1512;JavaScript;David Sawyer McFarland;QA76.73.J39.S27 ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;1513;JavaScript y jQuery Programación;David Sawyer McFarland;QA76.73.J39.S27J;2012;;;;;;;;;;;;;;;;;;;;;
;1514;JavaScript y jQuery Programación;David Sawyer McFarland;QA76.73.J39.S27J ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;1515;JavaScript Paso a paso;Steve Suehring;QA76.73.J39.S88;2008;;;;;;;;;;;;;;;;;;;;;
;1516;aprender a desarrollar con java ssprit;Christian VIGOUROUX;QA76.73.J39.V64;2015;;;;;;;;;;;;;;;;;;;;;
;1517;Aprender a desarrollar con JavaScript;Christian VIGOUROUX;QA76.73.J39.V64 ej. 10;2015;;;;;;;;;;;;;;;;;;;;;
;1518;Aprender a desarrollar con JavaScript;Christian VIGOUROUX;QA76.73.J39.V64 ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;1519;Aprender a desarrollar con JavaScript;Christian VIGOUROUX;QA76.73.J39.V64 ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;1520;Aprender a desarrollar con JavaScript;Christian VIGOUROUX;QA76.73.J39.V64 ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;1521;Aprender a desarrollar con JavaScript;Christian VIGOUROUX;QA76.73.J39.V64 ej. 5;2015;;;;;;;;;;;;;;;;;;;;;
;1522;Aprender a desarrollar con JavaScript;Christian VIGOUROUX;QA76.73.J39.V64 ej. 6;2015;;;;;;;;;;;;;;;;;;;;;
;1523;Aprender a desarrollar con JavaScript;Christian VIGOUROUX;QA76.73.J39.V64 ej. 7;2015;;;;;;;;;;;;;;;;;;;;;
;1524;Aprender a desarrollar con JavaScript;Christian VIGOUROUX;QA76.73.J39.V64 ej. 8;2015;;;;;;;;;;;;;;;;;;;;;
;1525;Aprender a desarrollar con JavaScript;Christian VIGOUROUX;QA76.73.J39.V64 ej. 9;2015;;;;;;;;;;;;;;;;;;;;;
;1526;LINQ;Fabrice Marguerie;QA76.73.L228.M26;2008;;;;;;;;;;;;;;;;;;;;;
;1527;Programacion Estructurada y Algoritmos en PASCAL;Jose Maria Valls;QA76.73.P2.V23;2004;;;;;;;;;;;;;;;;;;;;;
;1528;PHP Programacion Web avanzada para profesionales;Christian Cibelli;QA76.73.P224.C61;2012;;;;;;;;;;;;;;;;;;;;;
;1529;Creación de un portal con PHP y MySQL;Jacobo Pavón Puertas;QA76.73.P224.P31;2007;;;;;;;;;;;;;;;;;;;;;
;1530;Desarrollo Web con PHP y MySQL Programacion;Luke Welling;QA76.73.P224.W44;2009;;;;;;;;;;;;;;;;;;;;;
;1531;Oracle PL/SQL;Cesar Perez;QA76.73.P258.P45;2008;;;;;;;;;;;;;;;;;;;;;
;1532;Oracle PL/SQL;Cesar Perez;QA76.73.P258.P45 ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;1533;Oracle PL/SQL;Cesar Perez;QA76.73.P258.P45 ej. 3;2008;;;;;;;;;;;;;;;;;;;;;
;1534;Oracle PL/SQL;Cesar Perez;QA76.73.P258.P45 ej. 4;2008;;;;;;;;;;;;;;;;;;;;;
;1535;Python con Aplicaciones a las Matemeticas, Ingenieria y Finanzas;Ofelia D. Cervantes Villagomez, David Baez Lopez y otros;QA76.73.P98.C48;2017;;;;;;;;;;;;;;;;;;;;;
;1536;Python 3 al descubierto;Arturo Fernandez Montoro;QA76.73.P98.F41;2012;;;;;;;;;;;;;;;;;;;;;
;1537;Python 3 al descubierto;Arturo Fernandez Montoro;QA76.73.P98.F41 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;1538;Python Para administración de sistemas Unix y Linux;Noab Gift;QA76.73.P98.G44;2008;;;;;;;;;;;;;;;;;;;;;
;1539;Python Para administración de sistemas Unix y Linux;Noab Gift;QA76.73.P98.G44 ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;1540;Python Crear - Modificar - Reutilizar;Jim Knowlton;QA76.73.P98.K66;2009;;;;;;;;;;;;;;;;;;;;;
;1541;Python Crear - Modificar - Reutilizar;Jim Knowlton;QA76.73.P98.K66 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;1542;Python Guia de referencia;Alex Martelli;QA76.73.P98.M26;2002;;;;;;;;;;;;;;;;;;;;;
;1543;Programacion PYTHON 3;Mark Summerfield;QA76.73.P98.S92;2010;;;;;;;;;;;;;;;;;;;;;
;1544;SQL Guía Práctica;Francisco Charte Ojeda;QA76.73.S67.CH525;2010;;;;;;;;;;;;;;;;;;;;;
;1545;SQL facil;Pere Chardi Garcia;QA76.73.S67.CH525F;2014;;;;;;;;;;;;;;;;;;;;;
;1546;SQL facil;Pere Chardi Garcia;QA76.73.S67.CH525F ej. 2;2014;;;;;;;;;;;;;;;;;;;;;
;1547;SQL facil;Pere Chardi Garcia;QA76.73.S67.CH525F ej. 3;2014;;;;;;;;;;;;;;;;;;;;;
;1548;SQL facil;Pere Chardi Garcia;QA76.73.S67.CH525F ej. 4;2014;;;;;;;;;;;;;;;;;;;;;
;1549;SQL facil;Pere Chardi Garcia;QA76.73.S67.CH525F ej. 5;2014;;;;;;;;;;;;;;;;;;;;;
;1550;SQL facil;Pere Chardi Garcia;QA76.73.S67.CH525F ej. 6;2014;;;;;;;;;;;;;;;;;;;;;
;1551;SQL facil;Pere Chardi Garcia;QA76.73.S67.CH525F ej. 7;2014;;;;;;;;;;;;;;;;;;;;;
;1552;SQL facil;Pere Chardi Garcia;QA76.73.S67.CH525F ej. 8;2014;;;;;;;;;;;;;;;;;;;;;
;1553;SQL Manual Imprescindible;Francisco Charte Ojeda;QA76.73.S67.CH525M;2015;;;;;;;;;;;;;;;;;;;;;
;1554;SQL Manual Imprescindible;Francisco Charte Ojeda;QA76.73.S67.CH525M ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;1555;SQL Manual Imprescindible;Francisco Charte Ojeda;QA76.73.S67.CH525M ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;1556;SQL Manual Imprescindible;Francisco Charte Ojeda;QA76.73.S67.CH525M ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;1557;SQL Manual Imprescindible;Francisco Charte Ojeda;QA76.73.S67.CH525M ej. 5;2015;;;;;;;;;;;;;;;;;;;;;
;1558;La biblia de MySQL Edición revisada y actualizada 2009;Paul DuBois;QA76.73.S67.D96;2009;;;;;;;;;;;;;;;;;;;;;
;1559;MySQL 5.1 Guía Práctica;Juan Diego Gutierrez Gallardo;QA76.73.S67.G96;2009;;;;;;;;;;;;;;;;;;;;;
;1560;MySQL 5.1 Guía Práctica;Juan Diego Gutierrez Gallardo;QA76.73.S67.G96 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;1561;MySQL Avanzado;Baron Schwartz;QA76.73.S67.M99;2009;;;;;;;;;;;;;;;;;;;;;
;1562;Lenguajes de definicion y modificacion de datos SQL UF1472;Jose Manuel Piñeiro Gomez;QA76.73.S67.P59;2015;;;;;;;;;;;;;;;;;;;;;
;1563;Lenguajes de definicion y modificacion de datos SQL UF1473;Jose Manuel Piñeiro Gomez;QA76.73.S67.P59 ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;1564;Lenguajes de definicion y modificacion de datos SQL UF1474;Jose Manuel Piñeiro Gomez;QA76.73.S67.P59 ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;1565;Lenguajes de definicion y modificacion de datos SQL UF1475;Jose Manuel Piñeiro Gomez;QA76.73.S67.P59 ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;1566;"Competisoft Mejora de Procesos Software 
para Pequeñas y Medianas Empresas y Proyectos";Hanna Oktaba;QA76.754.C73;2009;;;;;;;;;;;;;;;;;;;;;
;1567;"Competisoft Mejora de Procesos Software
 para Pequeñas y Medianas Empresas y Proyectos";Hanna Oktaba;QA76.754.C73 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;1568;"Competisoft Mejora de Procesos Software 
para Pequeñas y Medianas Empresas y Proyectos";Hanna Oktaba;QA76.754.C73 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;1569;"Competisoft Mejora de Procesos Software
 para Pequeñas y Medianas Empresas y Proyectos";Hanna Oktaba;QA76.754.C73 ej. 4;2009;;;;;;;;;;;;;;;;;;;;;
;1570;"Competisoft Mejora de Procesos Software 
para Pequeñas y Medianas Empresas y Proyectos";Hanna Oktaba;QA76.754.C73 ej. 5;2009;;;;;;;;;;;;;;;;;;;;;
;1571;"Competisoft Mejora de Procesos Software 
para Pequeñas y Medianas Empresas y Proyectos";Hanna Oktaba;QA76.754.C73 ej. 6;2009;;;;;;;;;;;;;;;;;;;;;
;1572;"Competisoft Mejora de Procesos Software 
para Pequeñas y Medianas Empresas y Proyectos";Hanna Oktaba;QA76.754.C73 ej. 7;2009;;;;;;;;;;;;;;;;;;;;;
;1573;Software libre para servicios de información digital;Jesus Tramullas Saz;QA76.754.S65;2006;;;;;;;;;;;;;;;;;;;;;
;1574;Ingenieria de SOFTWARE Una perspectiva orientada a objetos;Eric J. Braude;QA76.758..B81;2003;;;;;;;;;;;;;;;;;;;;;
;1575;Software Project Estimation ;Alain Abran;QA76.758.A15;2015;;;;;;;;;;;;;;;;;;;;;
;1576;Analisis y diseño detallado de aplicaciones informaticas de gestión;Mario Piattini Velthuis;QA76.758.A57;2000;;;;;;;;;;;;;;;;;;;;;
;1577;Analisis y diseño de Aplicaciones Informaticas de Gestion una perspectiva de Ingenieria del Software;Mario Piattini Velthuis;QA76.758.A57;2004;;;;;;;;;;;;;;;;;;;;;
;1578;Analisis y diseño detallado de aplicaciones informaticas de gestión;Mario Piattini Velthuis;QA76.758.A57 ej. 2;2000;;;;;;;;;;;;;;;;;;;;;
;1579;Analisis y diseño de Aplicaciones Informaticas de Gestion una perspectiva de Ingenieria del Software;Mario Piattini Velthuis;QA76.758.A57 ej. 2;2004;;;;;;;;;;;;;;;;;;;;;
;1580;Analisis y diseño de Aplicaciones Informaticas de Gestion una perspectiva de Ingenieria del Software;Mario Piattini Velthuis;QA76.758.A57 ej. 3;2004;;;;;;;;;;;;;;;;;;;;;
;1581;Analisis y diseño de Aplicaciones Informaticas de Gestion una perspectiva de Ingenieria del Software;Mario Piattini Velthuis;QA76.758.A57 ej. 4;2004;;;;;;;;;;;;;;;;;;;;;
;1582;Ingenieria de Software Orientado a Objetos;Bernd Bruegge, Allen H. Dutoit;QA76.758.B85;2002;;;;;;;;;;;;;;;;;;;;;
;1583;Ingenieria de Software Orientado a Objetos;Bernd Bruegge, Allen H. Dutoit;QA76.758.B85 ej. 2;2003;;;;;;;;;;;;;;;;;;;;;
;1584;Arquitectura de Software Conceptos y ciclo de desarrollo;Humberto Cervantes Maceda, Perla Velasco-Elizondo y otros;QA76.758.C48;2016;;;;;;;;;;;;;;;;;;;;;
;1585;Arquitectura de Software Conceptos y ciclo de desarrollo;Humberto Cervantes Maceda, Perla Velasco-Elizondo y otros;QA76.758.C48 ej. 2;2016;;;;;;;;;;;;;;;;;;;;;
;1586;Arquitectura de Software Conceptos y ciclo de desarrollo;Humberto Cervantes Maceda, Perla Velasco-Elizondo y otros;QA76.758.C48 ej. 3;2016;;;;;;;;;;;;;;;;;;;;;
;1587;Arquitectura de Software Conceptos y ciclo de desarrollo;Humberto Cervantes Maceda, Perla Velasco-Elizondo y otros;QA76.758.C48 ej. 4;2016;;;;;;;;;;;;;;;;;;;;;
;1588;Arquitectura de Software Conceptos y ciclo de desarrollo;Humberto Cervantes Maceda, Perla Velasco-Elizondo y otros;QA76.758.C48 ej. 5;2016;;;;;;;;;;;;;;;;;;;;;
;1589;Arquitectura de Software Conceptos y ciclo de desarrollo;Humberto Cervantes Maceda, Perla Velasco-Elizondo y otros;QA76.758.C48 ej. 6;2016;;;;;;;;;;;;;;;;;;;;;
;1590;Desarrollo de Software Dirigido por Modelos: Conceptos, Metodos y Herramientas;Jesus Garcia Molina, Felix O. Garcia Rubio y otros;QA76.758.G23;2014;;;;;;;;;;;;;;;;;;;;;
;1591;Desarrollo de Software Dirigido por Modelos: Conceptos, Metodos y Herramientas;Jesus Garcia Molina, Felix O. Garcia Rubio y otros;QA76.758.G23 ej. 2;2014;;;;;;;;;;;;;;;;;;;;;
;1592;Desarrollo de Software Dirigido por Modelos: Conceptos, Metodos y Herramientas;Jesus Garcia Molina, Felix O. Garcia Rubio y otros;QA76.758.G23 ej. 3;2014;;;;;;;;;;;;;;;;;;;;;
;1593;Desarrollo de Software Dirigido por Modelos: Conceptos, Metodos y Herramientas;Jesus Garcia Molina, Felix O. Garcia Rubio y otros;QA76.758.G23 ej. 4;2014;;;;;;;;;;;;;;;;;;;;;
;1594;Desarrollo de Software Dirigido por Modelos: Conceptos, Metodos y Herramientas;Jesus Garcia Molina, Felix O. Garcia Rubio y otros;QA76.758.G23 ej. 5;2014;;;;;;;;;;;;;;;;;;;;;
;1595;Desarrollo de Software Dirigido por Modelos: Conceptos, Metodos y Herramientas;Jesus Garcia Molina, Felix O. Garcia Rubio y otros;QA76.758.G23 ej. 6;2014;;;;;;;;;;;;;;;;;;;;;
;1596;Metodos de Investigacion en Ingenieria del Software;Marcela Genero Bocco, Jose A. Cruz-Lemus, Mario Piattini Velthuis;QA76.758.G36;2015;;;;;;;;;;;;;;;;;;;;;
;1597;Metodos de Investigacion en Ingenieria del Software;Marcela Genero Bocco, Jose A. Cruz-Lemus, Mario Piattini Velthuis;QA76.758.G36 ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;1598;Metodos de Investigacion en Ingenieria del Software;Marcela Genero Bocco, Jose A. Cruz-Lemus, Mario Piattini Velthuis;QA76.758.G36 ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;1599;Metodos de Investigacion en Ingenieria del Software;Marcela Genero Bocco, Jose A. Cruz-Lemus, Mario Piattini Velthuis;QA76.758.G36 ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;1600;Metodos de Investigacion en Ingenieria del Software;Marcela Genero Bocco, Jose A. Cruz-Lemus, Mario Piattini Velthuis;QA76.758.G36 ej. 5;2015;;;;;;;;;;;;;;;;;;;;;
;1601;Administracion Software de un sistema informatico;Juan Carlos Moreno Pérez;QA76.758.M86;2015;;;;;;;;;;;;;;;;;;;;;
;1602;Ingenieria de Software;Guillermo Pantaleo- Ludmila Rinaldo;QA76.758.P23;2015;;;;;;;;;;;;;;;;;;;;;
;1603;Ingenieria de Software;Guillermo Pantaleo- Ludmila Rinaldo;QA76.758.P23 ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;1604;Ingenieria de Software;Guillermo Pantaleo- Ludmila Rinaldo;QA76.758.P23 ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;1605;Ingenieria de Software;Guillermo Pantaleo- Ludmila Rinaldo;QA76.758.P23 ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;1606;Ingenieria de software Teoria y practica;Shari Lawrence Pfleeger;QA76.758.P36;2002;;;;;;;;;;;;;;;;;;;;;
;1607;Modelo de madurez de ingenieria del software;Francisco J. Pino Correa;QA76.758.P59;2014;;;;;;;;;;;;;;;;;;;;;
;1608;Modelo de madurez de ingenieria del software;Francisco J. Pino Correa;QA76.758.P59 ej. 2;2014;;;;;;;;;;;;;;;;;;;;;
;1609;Modelo de madurez de ingenieria del software;Francisco J. Pino Correa;QA76.758.P59 ej. 3;2014;;;;;;;;;;;;;;;;;;;;;
;1610;Modelo de madurez de ingenieria del software;Francisco J. Pino Correa;QA76.758.P59 ej. 4;2014;;;;;;;;;;;;;;;;;;;;;
;1611;Modelo de madurez de ingenieria del software;Francisco J. Pino Correa;QA76.758.P59 ej. 5;2014;;;;;;;;;;;;;;;;;;;;;
;1612;Ingenieria de software Un enfoque practico;Roger S. Pressman;QA76.758.P85;2002;;;;;;;;;;;;;;;;;;;;;
;1613;Ingenieria del Software Un enfoque practico;Roger S. Pressman;QA76.758.P85 ;2005;;;;;;;;;;;;;;;;;;;;;
;1614;Ingenieria del software Un enfoque práctico;Roger S. Pressman;QA76.758.P85 ;2010;;;;;;;;;;;;;;;;;;;;;
;1615;Ingenieria de software Un enfoque practico;Roger S. Pressman;QA76.758.P85 ej. 2;2002;;;;;;;;;;;;;;;;;;;;;
;1616;Ingenieria del Software Un enfoque práctico;Roger S. Pressman;QA76.758.P85 ej. 2;2005;;;;;;;;;;;;;;;;;;;;;
;1617;Ingenieria del software Un enfoque práctico;Roger S. Pressman;QA76.758.P85 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;1618;Ingenieria del Software Un enfoque práctico;Roger S. Pressman;QA76.758.P85 ej. 3;2005;;;;;;;;;;;;;;;;;;;;;
;1619;Ingenieria del software Un enfoque práctico;Roger S. Pressman;QA76.758.P85 ej. 3;2010;;;;;;;;;;;;;;;;;;;;;
;1620;Ingenieria del Software Un enfoque práctico;Roger S. Pressman;QA76.758.P85 ej. 4;2005;;;;;;;;;;;;;;;;;;;;;
;1621;Ingenieria del software Un enfoque práctico;Roger S. Pressman;QA76.758.P85 ej. 4;2010;;;;;;;;;;;;;;;;;;;;;
;1622;Ingenieria del Software Un enfoque práctico;Roger S. Pressman;QA76.758.P85 ej. 5;2005;;;;;;;;;;;;;;;;;;;;;
;1623;Ingenieria del software Un enfoque práctico;Roger S. Pressman;QA76.758.P85 ej. 5;2010;;;;;;;;;;;;;;;;;;;;;
;1624;Ingenieria del software Un enfoque práctico;Roger S. Pressman;QA76.758.P85 ej. 6;2010;;;;;;;;;;;;;;;;;;;;;
;1625;Ingenieria del Software Un enfoque desde la guía SWEBOK;Salvador Sanchez;QA76.758.S22;2011;;;;;;;;;;;;;;;;;;;;;
;1626;Ingenieria del Software Un enfoque desde la guía SWEBOK;Salvador Sanchez;QA76.758.S22  ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;1627;Ingenieria del Software Un enfoque desde la guía SWEBOK;Salvador Sanchez;QA76.758.S22  ej. 3;2011;;;;;;;;;;;;;;;;;;;;;
;1628;Aplicaciones informaticas de bases de datos relacionales UF0322;Oscar Sanchez Estella;QA76.758.S23;2016;;;;;;;;;;;;;;;;;;;;;
;1629;Aplicaciones informaticas de bases de datos relacionales UF0323;Oscar Sanchez Estella;QA76.758.S23 ej. 2;2016;;;;;;;;;;;;;;;;;;;;;
;1630;Aplicaciones informaticas de bases de datos relacionales UF0324;Oscar Sanchez Estella;QA76.758.S23 ej. 3;2016;;;;;;;;;;;;;;;;;;;;;
;1631;Aplicaciones informaticas de bases de datos relacionales UF0325;Oscar Sanchez Estella;QA76.758.S23 ej. 4;2016;;;;;;;;;;;;;;;;;;;;;
;1632;Aplicaciones informaticas de bases de datos relacionales UF0326;Oscar Sanchez Estella;QA76.758.S23 ej. 5;2016;;;;;;;;;;;;;;;;;;;;;
;1633;Ingenieria de software clasica y orientada a objetos;Stephen R. Schach;QA76.758.S29;2006;;;;;;;;;;;;;;;;;;;;;
;1634;Ingenieria de software clasica y orientada a objetos;Stephen R. Schach;QA76.758.S29 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;1635;Ingenieria de software clasica y orientada a objetos;Stephen R. Schach;QA76.758.S29 ej. 3;2006;;;;;;;;;;;;;;;;;;;;;
;1636;Ingenieria de software clasica y orientada a objetos;Stephen R. Schach;QA76.758.S29 ej. 4;2006;;;;;;;;;;;;;;;;;;;;;
;1637;Ingenieria de software;Ian Sommerville;QA76.758.S67;2011;;;;;;;;;;;;;;;;;;;;;
;1638;Ingenieria del Software;Ian Sommerville;QA76.758.S67 ;2005;;;;;;;;;;;;;;;;;;;;;
;1639;Ingenieria del Software;Ian Sommerville;QA76.758.S67 ej. 10;2005;;;;;;;;;;;;;;;;;;;;;
;1640;Ingenieria del Software;Ian Sommerville;QA76.758.S67 ej. 11;2005;;;;;;;;;;;;;;;;;;;;;
;1641;Ingenieria del Software;Ian Sommerville;QA76.758.S67 ej. 12;2005;;;;;;;;;;;;;;;;;;;;;
;1642;Ingenieria del Software;Ian Sommerville;QA76.758.S67 ej. 2;2005;;;;;;;;;;;;;;;;;;;;;
;1643;Ingenieria de software;Ian Sommerville;QA76.758.S67 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;1644;Ingenieria del Software;Ian Sommerville;QA76.758.S67 ej. 3;2005;;;;;;;;;;;;;;;;;;;;;
;1645;Ingenieria de software;Ian Sommerville;QA76.758.S67 ej. 3;2011;;;;;;;;;;;;;;;;;;;;;
;1646;Ingenieria del Software;Ian Sommerville;QA76.758.S67 ej. 4;2005;;;;;;;;;;;;;;;;;;;;;
;1647;Ingenieria de software;Ian Sommerville;QA76.758.S67 ej. 4;2011;;;;;;;;;;;;;;;;;;;;;
;1648;Ingenieria del Software;Ian Sommerville;QA76.758.S67 ej. 5;2005;;;;;;;;;;;;;;;;;;;;;
;1649;Ingenieria de software;Ian Sommerville;QA76.758.S67 ej. 5;2011;;;;;;;;;;;;;;;;;;;;;
;1650;Ingenieria del Software;Ian Sommerville;QA76.758.S67 ej. 6;2005;;;;;;;;;;;;;;;;;;;;;
;1651;Ingenieria de software;Ian Sommerville;QA76.758.S67 ej. 6;2011;;;;;;;;;;;;;;;;;;;;;
;1652;Ingenieria del Software;Ian Sommerville;QA76.758.S67 ej. 7;2005;;;;;;;;;;;;;;;;;;;;;
;1653;Ingenieria de software;Ian Sommerville;QA76.758.S67 ej. 7;2011;;;;;;;;;;;;;;;;;;;;;
;1654;Ingenieria del Software;Ian Sommerville;QA76.758.S67 ej. 8;2005;;;;;;;;;;;;;;;;;;;;;
;1655;Ingenieria de software;Ian Sommerville;QA76.758.S67 ej. 8;2011;;;;;;;;;;;;;;;;;;;;;
;1656;Ingenieria del Software;Ian Sommerville;QA76.758.S67 ej. 9;2005;;;;;;;;;;;;;;;;;;;;;
;1657;Desarrollo global de Software;Aurota Vizcaino Barcelo, Felix O. Garcia Rubio y otros;QA76.758.V78;2015;;;;;;;;;;;;;;;;;;;;;
;1658;Desarrollo global de Software;Aurota Vizcaino Barcelo, Felix O. Garcia Rubio y otros;QA76.758.V78 ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;1659;Desarrollo global de Software;Aurota Vizcaino Barcelo, Felix O. Garcia Rubio y otros;QA76.758.V78 ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;1660;Desarrollo global de Software;Aurota Vizcaino Barcelo, Felix O. Garcia Rubio y otros;QA76.758.V78 ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
